,,,,,,,
,Horrifying Extinct Animals Quiz,,,,,,
,"Questions based on extinct animals ranking worksheet. Test your knowledge about fascinating extinct creatures!",,,,,,
,"Remember: questions have a limit of 95 characters and answers can have 60 characters max. Text will turn red in Excel or Google Docs if you exceed this limit. If several answers are correct, separate them with a comma.",,,,,,
,,,,,,,
,"And remember, if you're not using Excel you need to export to .xlsx format before you upload to Kahoot!",,,,,,
,,,,,,,
,Question - max 95 characters,Answer 1 - max 60 characters,Answer 2 - max 60 characters,Answer 3 - max 60 characters,Answer 4 - max 60 characters,"Time limit (sec) - 5,10,20,30,60,90 or 120 secs",Correct answer(s) - choose at least one
1,Where did the Haast's Eagle live?,New Zealand,Australia,Japan,Canada,30,1
2,What was the Titanoboa?,Giant snake,Giant lizard,Giant crocodile,Giant turtle,30,1
3,Where was the Titanoboa discovered?,Colombia,Brazil,Peru,Venezuela,30,1
4,What was the Saber-Toothed Cat famous for?,Long curved teeth,Sharp claws,Powerful roar,Large size,30,1
5,What was the Japanese Wolf hunted to protect?,Farm animals,Crops,Villages,Forests,30,1
6,What did the Haast's Eagle hunt?,Giant Moa bird,Kangaroos,Deer,Fish,30,1
7,Where did the Bear-Dog live?,Europe Asia North America,Only Europe,Only Asia,Only North America,30,1
8,Which extinct animal was a giant shark?,Megalodon,Titanoboa,Dire Wolf,Saber-Toothed Cat,30,1
9,Which extinct animal was a lion that lived in North Africa?,Barbary Lion,Japanese Wolf,Dire Wolf,Haast's Eagle,30,1
10,Which extinct animal had the strongest bite?,Dire Wolf,Saber-Toothed Cat,Megalodon,Barbary Lion,30,1
11,How long was the Titanoboa?,47 feet,30 feet,60 feet,25 feet,30,1
12,What became extinct to protect farm animals?,Japanese Wolf,Dire Wolf,Barbary Lion,Bear-Dog,30,1
13,Which animal was an extinct wolf from Japan?,Japanese Wolf,Dire Wolf,Bear-Dog,Saber-Toothed Cat,30,1
14,Which was a huge 47-foot-long snake?,Titanoboa,Megalodon,Dire Wolf,Haast's Eagle,30,1
15,Which extinct animal was a giant predator from the ocean?,Megalodon,Titanoboa,Haast's Eagle,Bear-Dog,30,1
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,,,,,,,
49,,,,,,,
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,,,
64,,,,,,,
65,,,,,,,
66,,,,,,,
67,,,,,,,
68,,,,,,,
69,,,,,,,
70,,,,,,,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
